Date,Observed,Predicted
2009-04-01,-0.2,-0.7341219845716466
2009-04-02,0.1,-0.7378846473328216
2009-04-04,-0.48,-0.9303277191037668
2009-04-06,0.19,-1.0929804692899034
2009-04-10,0.29,-0.7586937954870623
2009-04-17,0.19,-0.6036997094277569
2009-04-18,-1.18,-0.7363063878368782
2009-04-24,-0.98,-0.6220515759247519
2009-05-03,-1.45,-0.8925713628123089
2009-05-18,0.28,-1.3323607675564961
2009-05-22,-1.64,-0.9714899572495845
2009-05-24,-0.61,-0.41761395741642005
2009-06-02,-1.03,-0.8990100361284906
2009-06-05,-0.87,-0.9026756699596991
2009-06-06,-0.65,-0.6198065136495012
2009-06-07,-0.68,-0.6198065136495012
2009-06-10,-1.04,-0.9235473275133484
2009-06-13,-1.14,-0.8067166994308032
2009-06-14,-1.39,-0.8371226772264879
2009-06-22,-1.49,-1.0557690090919603
2009-06-26,-1.59,-1.0869845059842302
2009-06-28,-1.91,-1.0656134749606938
2009-06-29,-2.38,-1.4270003557569229
2009-07-02,-1.43,-0.8951807000095919
2009-07-09,-1.13,-0.8442223696841775
2009-07-18,-1.42,-0.9958553671991409
2009-07-22,-1.14,-1.1232559469332724
2009-07-24,-1.09,-1.1273683598335584
2009-08-02,-1.12,-0.9423669925071776
2009-08-03,-0.79,-1.0152307526278053
2009-08-09,-1.65,-0.9604093592262855
2009-08-13,-1.27,-0.9583927282053583
2009-08-26,-0.91,-0.88970587326272
2009-08-27,-0.99,-0.8874265935467848
2009-09-08,-1.05,-1.0848134869251174
2009-09-09,-1.37,-1.0876888563191824
2009-09-10,-1.37,-1.1281475919152033
2009-09-22,-1.98,-0.9325663066442922
2009-09-26,-1.76,-0.9847970836381972
2009-09-28,-1.31,-1.0584943225782344
2009-10-03,-0.84,-0.9403779076502341
2009-10-06,-1.18,-1.0917556380764974
2009-10-08,-1.36,-1.0862698434097124
2009-10-09,-1.36,-1.0007829378145097
2009-10-15,-1.56,-0.42531100804662236
2009-10-21,-1.42,-1.376567242474544
2009-10-25,-1.59,-0.660315950712095
2009-10-26,-1.35,-1.3140114320748884
2009-11-03,-1.53,-0.7550512698725002
2009-11-06,-1.59,-1.288854305306289
2009-11-11,-1.92,-1.2236829022945375
2009-11-12,-2.22,-1.209443503149746
2009-11-13,-1.79,-1.007456442401018
2009-11-14,-1.47,-1.1035495593223963
2009-11-16,-1.16,-1.2097087137842026
2009-11-18,-1.28,-1.2367804778466425
2009-11-19,-1.21,-1.2119951772815667
2009-11-24,-1.57,-1.1870637187861426
2009-11-29,-1.41,-0.9973868048492844
2009-12-03,-2.22,-1.2967406448953434
2009-12-08,-2.62,-2.060209611245272
2009-12-11,-2.16,-1.6048869082115045
2009-12-13,-2.25,-1.2925478797379906
2009-12-14,-1.89,-1.4276253797576963
2009-12-17,-2.0,-1.7084413503277884
2009-12-18,-2.06,-1.7256950128659954
2009-12-25,-1.86,-1.2758260123190432
2010-01-01,-1.95,-1.3594481362386976
2010-01-07,-1.52,-1.4657816820616976
2010-01-14,-1.61,-1.3483189612732276
2010-01-17,-1.72,-1.2152230988525576
2010-01-21,-1.68,-1.4657816820616976
2010-01-25,-1.5,-1.3196232047888539
2010-01-29,-1.69,-1.4361414247109245
2010-02-03,-1.79,-1.44266332672374
2010-02-05,-1.41,-1.2285966039708702
2010-02-13,-1.22,-1.186198320217469
2010-02-16,-1.24,-1.2840676550100156
2010-02-18,-1.14,-1.2410092259378975
2010-02-20,-1.68,-1.0256342778764824
2010-02-24,-1.37,-1.0489816852756642
2010-03-01,-1.04,-1.038588109899092
2010-03-03,-1.03,-0.9931077458826786
2010-03-04,-1.25,-1.0264554793731853
2010-03-05,-1.44,-1.2012005123681395
2010-03-11,-0.92,-1.1164450776554156
2010-03-20,-0.85,-0.8873279092467854
2010-03-21,-0.9,-1.0431918993124747
2010-03-22,-0.95,-1.0460621755977548
2010-03-24,-0.6,-0.9514440166485449
2010-04-03,-0.97,-1.1663296074992493
2010-04-09,-0.82,-1.0225894384334289
2010-04-18,-1.24,-0.9644177276303874
2010-04-22,-0.91,-1.1320914012494072
2010-04-24,-1.28,-1.023704711177536
2010-05-01,-1.19,-0.8976654335731463
2010-05-06,-1.34,-1.0547449525640094
2010-05-11,-1.46,-1.1777732763839737
2010-05-12,-1.47,-1.3994118170477792
2010-05-20,-1.5,-1.1727552376627133
2010-05-30,-1.18,-0.6620304566613301
2010-06-02,-1.3,-1.1822596744501814
2010-06-12,-0.96,-0.9320721985699153
2010-06-19,-0.56,-0.8067166994308032
2010-06-20,-0.63,-0.7869268177088932
2010-06-24,-1.07,-1.1724809015712045
2010-06-29,-1.63,-1.527254556905402
2010-07-04,-1.12,-0.6415935548953487
2010-07-06,-0.89,-0.8965938945678819
2010-07-12,-0.99,-0.7035638471687639
