Date,Observed,Predicted
2010-09-13,-0.93,-1.05460417097868
2010-10-11,-0.72,-0.9647385449080463
2010-10-13,-0.82,-1.053419020309171
2010-10-27,-1.19,-1.0261324861174022
2010-11-23,-1.68,-1.3419674881157
2010-12-10,-1.1,-1.2866307450615713
2010-12-17,-0.93,-1.280659344889358
2010-12-19,-1.07,-0.9682845385704092
2010-12-20,-0.76,-1.1495412259846574
2010-12-31,-0.89,-0.996183338849141
2011-01-05,-0.77,-0.9035027815223967
2011-01-08,-0.92,-0.9185438613005684
2011-01-13,-0.97,-0.9346373432479818
2011-02-17,-0.77,-0.8652373435641908
2011-03-02,-1.0,-0.855701001656053
2011-05-01,-0.85,-0.9815896188867317
2011-05-08,-0.68,-0.7918645726373997
2011-05-10,-1.06,-1.0098322073166208
2011-05-22,-0.29,-0.2138058231666602
2011-06-15,-1.02,-1.047133095968308
2011-06-18,-0.24,-0.5988334480752134
2011-06-22,-0.81,-1.1052114226222078
2011-07-09,-0.51,-0.6802704846524644
2011-07-10,-0.25,-0.6884993953700084
2011-08-08,-0.54,-0.7145544342034617
2011-08-25,-0.75,-0.6861861991598737
2011-08-29,-0.8,-0.6507584601786107
2011-09-03,-1.02,-0.8364368803868893
2011-09-09,-1.08,-0.786499459199202
2011-09-24,-1.02,-0.837983661380579
2011-09-26,-0.8,-0.7008972864989897
2011-10-03,-1.24,-1.1029500870704714
2011-10-20,-0.61,-0.9557162866673434
2011-11-01,-1.42,-1.2543696776784972
2011-11-07,-1.2,-1.2310756372129312
2011-11-08,-1.37,-1.1600566597611497
2011-11-10,-1.53,-1.259141909298276
2011-11-25,-1.14,-1.0794881932674498
2011-12-04,-1.32,-1.28627341356297
2011-12-06,-1.34,-1.4096596716640661
2011-12-27,-1.11,-1.1635049558780541
2011-12-31,-0.7,-1.1014551845282659
2012-01-01,-0.98,-0.8271129394128411
2012-01-03,-1.03,-0.7629517736831064
2012-02-04,-0.73,-0.7894655177467179
2012-02-07,-0.8,-0.740353899905427
2012-02-08,-0.9,-0.740353899905427
2012-02-10,-0.69,-0.7337931405242777
2012-02-11,-0.56,-0.7274394076700674
2012-03-01,-0.72,-0.760872045432125
2012-03-29,-0.84,-0.7473490081049248
2012-04-22,-0.59,-0.6406189851152642
2012-04-23,-0.8,-0.6241846738733731
2012-04-25,-0.42,-0.6096236432881011
2012-05-04,-0.25,-0.5550027279226365
2012-05-08,-0.6,-0.6340151552380832
2012-05-11,-0.51,-0.6041457380466962
2012-05-13,-0.2,-0.634164152664541
2012-05-15,-0.37,-0.5733630884631323
2012-05-22,-0.37,-0.690371260964754
2012-06-20,-1.15,-0.7801516479797812
2012-07-08,-0.38,-0.3982737896729259
2012-07-09,-0.46,-0.4211639410745823
2012-07-18,-0.45,-0.4079432056861813
2012-07-29,-0.06,-0.38217191399186573
2012-09-10,-0.4,-0.5178580383091946
2012-09-24,-0.43,-0.34335243658252484
2012-10-07,-0.87,-0.8215183211105798
2012-10-11,-0.82,-0.8043232955076459
2012-10-12,-1.03,-0.835199466718965
2012-11-09,-1.04,-0.9910896795684319
2012-11-22,-1.14,-0.9904136576431074
2012-11-23,-0.78,-1.0348094814508975
2012-11-24,-0.72,-1.0665653890133013
2012-12-14,-1.23,-1.099574092631999
2013-01-10,-0.74,-0.8737009617919808
2013-01-18,-1.01,-0.9468093860641381
2013-01-28,-0.98,-0.8505206817631185
2013-02-14,-0.51,-0.61345181794252
2013-02-25,-0.62,-0.7559109744071942
2013-02-26,-0.42,-0.712380903873913
2013-03-17,-0.89,-0.7789318321371126
2013-03-21,-0.32,-0.7724889579151047
2013-03-31,-0.81,-0.8401661373283277
2013-04-15,-0.92,-1.1057867233144596
2013-04-29,-1.38,-1.0270315514490709
2013-05-08,-0.91,-0.7940589879319617
2013-05-10,-1.08,-1.116900007315808
2013-05-20,-1.27,-0.9836718922297538
2013-05-29,-0.61,-1.0707246853885841
2013-06-19,-1.0,-1.063904937590171
2013-06-20,-1.18,-1.1571071865688867
2013-06-25,-1.59,-0.9339748671168191
2013-07-05,-1.16,-0.8280835819846724
2013-07-08,-0.88,-0.8366414095627522
2013-07-27,-0.79,-0.8560824155957663
2013-07-31,-1.05,-0.8788901326927788
2013-08-21,-0.61,-0.790386334545816
2013-08-24,-0.63,-0.8060618849938312
