Date,Observed,Predicted
2009-04-18,-1.18,-0.7938212378045821
2009-04-23,-0.95,-0.8352680569070178
2009-05-17,0.03,-1.0303025654120588
2009-05-19,-1.72,-1.27469545721849
2009-05-29,-1.71,-0.9585365998790488
2009-06-03,-0.89,-0.9203119037634911
2009-06-08,-1.08,-0.8048921323403294
2009-06-18,-1.67,-1.0079096649342034
2009-06-26,-1.59,-1.016525458490499
2009-06-29,-2.38,-1.3418199186272113
2009-07-01,-1.56,-0.963166025431664
2009-07-11,-0.91,-0.8648751817058971
2009-07-12,-0.87,-0.8823830327679993
2009-07-13,-0.93,-0.8946631750431258
2009-07-19,-1.56,-1.0147773676828884
2009-07-22,-1.14,-1.0163017445971414
2009-07-26,-1.35,-2.145130163872497
2009-07-30,-1.3,-1.0147773676828884
2009-08-14,-1.2,-0.9989684391922239
2009-08-31,-0.91,-0.9351466044084508
2009-09-04,-1.13,-1.0075166006663263
2009-09-26,-1.76,-1.0269667910156166
2009-09-29,-0.95,-1.0269667910156166
2009-10-11,-1.39,-1.034933267347087
2009-10-15,-1.56,-1.0414547605507831
2009-10-25,-1.59,-1.0414547605507831
2009-10-31,-1.43,-1.0248450323639058
2009-11-06,-1.59,-1.1602170019295068
2009-11-08,-1.33,-1.1124471206259787
2009-11-16,-1.16,-1.130866166963091
2009-11-24,-1.57,-1.130866166963091
2009-11-26,-1.65,-1.130866166963091
2009-11-30,-1.39,-1.1602170019295068
2009-12-01,-1.77,-1.239915048827613
2009-12-16,-2.14,-1.63987689190341
2009-12-24,-1.6,-1.289735753526488
2009-12-30,-1.96,-1.4418001804331533
2010-01-01,-1.95,-1.2023966062968012
2010-01-09,-1.64,-1.2023966062968012
2010-01-27,-1.78,-1.2532372575904458
2010-03-29,-0.44,-1.1784996577218205
2010-03-30,-0.67,-1.1199450012947691
2010-04-01,-0.89,-1.1807740120586103
2010-04-08,-0.89,-1.1807740120586103
2010-04-10,-0.96,-1.1773561078695496
2010-05-06,-1.34,-1.0303025654120588
2010-05-07,-1.7,-1.27469545721849
2010-05-15,-1.26,-1.1367997727497634
2010-05-16,-1.28,-1.0303025654120588
2010-05-27,-1.69,-1.1218258465520894
2010-06-01,-0.95,-0.9350728921281469
2010-06-03,-1.35,-1.0826147912861372
2010-06-08,-1.09,-1.0716769837644076
2010-06-09,-0.83,-1.00808914395167
2010-06-10,-0.79,-0.9203119037634911
2010-06-13,-0.92,-1.0017381189178407
2010-06-19,-0.56,-0.8591908880260681
2010-06-21,-1.03,-1.016525458490499
2010-06-29,-1.63,-1.3418199186272113
2010-07-03,-0.88,-0.8715241612946315
2010-07-16,-0.87,-1.1952411677450419
2010-07-22,-0.93,-1.0126556090311776
2010-07-28,-0.9,-1.0147773676828884
2010-07-30,-0.79,-1.0147773676828884
2010-08-04,-1.16,-1.0034431519268474
2010-08-13,-1.06,-1.0019187750125944
2010-08-20,-0.6,-1.0019187750125944
2010-09-01,-1.11,-1.027541939133918
2010-09-10,-0.91,-1.034933267347087
2010-09-19,-0.98,-1.0426738522762047
2010-09-26,-1.03,-1.0269667910156166
2010-10-24,-1.16,-1.0211800337337795
2010-11-27,-1.6,-1.1602170019295068
2010-11-29,-1.8,-1.1603876926295205
2010-12-17,-0.93,-1.1969601418651843
2010-12-30,-0.96,-1.1916068606047794
2011-01-03,-0.77,-1.1476239537846509
2011-01-08,-0.92,-1.1476239537846509
2011-01-09,-1.06,-1.1476239537846509
2011-01-14,-0.98,-1.1455062126104483
2011-01-22,-0.68,-0.9373606315188656
2011-01-24,-0.92,-1.0217463902175314
2011-02-02,-1.02,-1.1364553181463328
2011-03-05,-0.9,-0.7434043591482272
2011-03-12,-0.77,-0.831082036262991
2011-03-14,-0.86,-0.8083722204109773
2011-03-18,-0.93,-0.920832738831767
2011-03-28,-0.86,-0.851265519487369
2011-04-01,-0.59,-0.9211487198430303
2011-04-06,-0.73,-0.9211487198430303
2011-04-08,-0.82,-0.8415479769401958
2011-04-19,-1.05,-1.1773561078695496
2011-04-30,-0.74,-0.8415479769401958
2011-05-08,-0.68,-0.7633825808592075
2011-06-17,-0.74,-1.0826147912861372
2011-06-28,-0.62,-1.2876537335237817
2011-07-14,-0.62,-0.8823830327679993
2011-09-12,-0.73,-1.0248450323639058
2011-09-17,-0.9,-1.0230061433813489
2011-09-20,-0.95,-1.0284911679298696
2011-09-25,-1.1,-1.0470083954764526
2011-09-29,-1.1,-1.0248450323639058
2011-10-11,-0.91,-1.0211800337337795
2011-10-13,-0.8,-1.0284911679298696
2011-10-14,-0.74,-1.0269667910156166
2011-11-26,-1.12,-1.0312073108573314
2011-12-07,-1.44,-1.1969601418651843
2011-12-21,-1.12,-1.0986883456849386
2011-12-28,-1.02,-1.0986883456849386
2011-12-31,-0.7,-1.032886573960632
2012-01-09,-0.9,-0.9517647393506679
2012-01-22,-0.74,-0.7691333183617195
2012-01-26,-0.62,-0.8770219372586502
2012-02-09,-0.78,-0.9369747067472521
2012-02-18,-0.8,-0.847978155884177
2012-02-29,-1.01,-0.7703581226837722
2012-03-12,-0.77,-0.7307521872105726
2012-03-26,-0.87,-0.7529202715002544
2012-03-31,-0.75,-0.7099069645061441
